runner,area,line,yards
"knile davis","right","tackle","-2"
"knile davis","middle","center","1"
"lamar miller","middle","center",0
"knile davis","middle","center","3"
"knile davis","right","guard","3"
"knile davis","right","tackle","15"
"cyrus gray","right","guard","5"
"cyrus gray","middle","center","4"
"cyrus gray","right","guard","6"
"dallas thomas","middle","center","10"
"zac stacy","left","tackle","12"
"trey watts","right","guard","1"
"kenny britt","right","tackle","2"
"zac stacy","left","tackle","4"
"trey watts","middle","center","4"
"trey watts","left","tackle","9"
"zac stacy","left","tackle","8"
"zac stacy","middle","center",0
"demarco murray","right","tackle","7"
"demarco murray","right","tackle","-4"
"zac stacy","left","tackle","5"
"benny cunningham","right","guard","2"
"demarco murray","left","guard","-2"
"benny cunningham","middle","center","2"
"benny cunningham","right","tackle","5"
"benny cunningham","left","guard","1"
"benny cunningham","middle","center","3"
"benny cunningham","right","guard","2"
"jared cook","left","tackle",0
"demarco murray","left","tackle","2"
"demarco murray","left","tackle",0
"demarco murray","right","tackle","-2"
"demarco murray","left","tackle","14"
"demarco murray","left","tackle","20"
"demarco murray","right","guard","4"
"demarco murray","right","guard","1"
"benny cunningham","right","tackle","7"
"demarco murray","middle","center","5"
"demarco murray","left","tackle","3"
"zac stacy","left","guard","7"
"trey watts","left","tackle","7"
"zac stacy","left","tackle","5"
"zac stacy","right","tackle","1"
"zac stacy","left","guard","-1"
"demarco murray","middle","center","1"
"demarco murray","left","tackle","44"
"joseph randle","left","guard","7"
"joseph randle","middle","center","2"
"demarco murray","middle","center","-5"
"zac stacy","left","tackle","16"
"zac stacy","middle","center","9"
"benny cunningham","middle","center","2"
"zac stacy","middle","center","1"
"demarco murray","left","tackle","1"
"tony romo","middle","center","16"
"demarco murray","left","tackle","1"
"demarco murray","right","tackle","-5"
"demarco murray","right","tackle","2"
"demarco murray","middle","center","3"
"benny cunningham","right","guard","5"
"demarco murray","left","tackle",0
"demarco murray","left","guard","7"
"demarco murray","middle","center",0
"russell wilson","middle","center","2"
"marshawn lynch","middle","center","3"
"montee ball","middle","center","9"
"marshawn lynch","left","tackle","3"
"marshawn lynch","left","tackle","2"
"marshawn lynch","right","guard","-1"
"montee ball","right","tackle","-5"
"montee ball","middle","center","1"
"montee ball","middle","center","3"
"montee ball","middle","center","5"
"montee ball","left","guard","5"
"montee ball","middle","center","1"
"marshawn lynch","right","tackle","1"
"montee ball","left","tackle",0
"virgil green","middle","center",0
"marshawn lynch","left","tackle","12"
"russell wilson","left","tackle","4"
"marshawn lynch","right","tackle","5"
"marshawn lynch","middle","center",0
"montee ball","left","tackle","1"
"montee ball","middle","center","-1"
"c.j. anderson","left","guard","-1"
"c.j. anderson","middle","center","-2"
"marshawn lynch","middle","center","9"
"marshawn lynch","middle","center","3"
"russell wilson","right","tackle","5"
"marshawn lynch","middle","center","8"
"marshawn lynch","right","guard","1"
"montee ball","middle","center","6"
"marshawn lynch","left","tackle","2"
"marshawn lynch","left","guard","3"
"ronnie hillman","middle","center","2"
"ronnie hillman","middle","center",0
"marshawn lynch","left","tackle",0
"robert turbin","right","tackle",0
"russell wilson","middle","center","9"
"marshawn lynch","left","tackle","-2"
"marshawn lynch","middle","center","8"
"marshawn lynch","right","tackle",0
"montee ball","right","guard","4"
"robert turbin","middle","center","1"
"montee ball","left","tackle","10"
"montee ball","left","guard","-1"
"marshawn lynch","middle","center","2"
"marshawn lynch","left","guard","1"
"marshawn lynch","right","guard",0
"marshawn lynch","left","tackle","7"
"russell wilson","left","tackle","5"
"russell wilson","right","tackle","5"
"marshawn lynch","middle","center","6"
"russell wilson","right","tackle","6"
"marshawn lynch","left","tackle","6"
"trent richardson","middle","center","2"
"trent richardson","middle","center","2"
"trent richardson","middle","center","1"
"ahmad bradshaw","middle","center","5"
"toby gerhart","middle","center","2"
"denard robinson","middle","center","1"
"andrew luck","right","tackle","2"
"trent richardson","middle","center","27"
"trent richardson","middle","center","3"
"denard robinson","left","tackle","7"
"ahmad bradshaw","middle","center","-1"
"ahmad bradshaw","right","tackle","9"
"donte moncrief","right","tackle","7"
"toby gerhart","middle","center","4"
"toby gerhart","right","tackle","5"
"denard robinson","middle","center","1"
"ahmad bradshaw","right","tackle","8"
"ahmad bradshaw","right","tackle","8"
"ahmad bradshaw","right","tackle","1"
"andrew luck","middle","center","10"
"ahmad bradshaw","right","tackle","7"
"toby gerhart","right","tackle","13"
"denard robinson","left","tackle","5"
"denard robinson","left","tackle","10"
"denard robinson","middle","center","-2"
"trent richardson","left","tackle","-1"
"toby gerhart","right","tackle","3"
"denard robinson","middle","center","7"
"blake bortles","left","tackle","20"
"toby gerhart","left","tackle","3"
"ahmad bradshaw","left","tackle","28"
"trent richardson","left","tackle","5"
"trent richardson","right","guard","7"
"trent richardson","right","tackle","-1"
"andrew luck","middle","center","3"
"ahmad bradshaw","middle","center",0
"toby gerhart","right","tackle","-1"
"toby gerhart","left","tackle",0
"trent richardson","right","tackle","8"
"trent richardson","left","tackle","2"
"trent richardson","middle","center","2"
"trent richardson","right","tackle",0
"trent richardson","middle","center",0
"denard robinson","left","tackle","4"
"dan herron","middle","center","1"
"jordan todman","left","tackle","10"
"blake bortles","left","tackle","10"
"toby gerhart","middle","center","3"
"c.j. spiller","middle","center","3"
"ej manuel","left","tackle","3"
"ej manuel","left","guard","1"
"donald brown","right","guard","2"
"danny woodhead","left","guard","1"
"donald brown","left","tackle","14"
"donald brown","middle","center","1"
"c.j. spiller","left","guard","2"
"c.j. spiller","middle","center","-1"
"fred jackson","left","guard","2"
"c.j. spiller","right","guard","6"
"fred jackson","middle","center","2"
"c.j. spiller","left","tackle","3"
"donald brown","middle","center","4"
"donald brown","middle","center","4"
"donald brown","right","guard","3"
"donald brown","middle","center","4"
"donald brown","left","guard","5"
"donald brown","right","guard","2"
"branden oliver","middle","center",0
"donald brown","middle","center","-1"
"ej manuel","left","tackle","6"
"donald brown","left","tackle","1"
"donald brown","right","tackle","2"
"donald brown","middle","center","3"
"c.j. spiller","left","guard","4"
"fred jackson","left","guard","3"
"donald brown","right","guard","5"
"donald brown","middle","center","1"
"donald brown","middle","center","1"
"donald brown","left","guard","1"
"philip rivers","left","guard","9"
"donald brown","left","tackle","-1"
"branden oliver","middle","center","6"
"branden oliver","left","tackle","5"
"donald brown","middle","center","2"
"fred jackson","right","tackle","17"
"ej manuel","right","tackle","8"
"fred jackson","middle","center","2"
"c.j. spiller","middle","center","2"
"frank summers","middle","center","4"
"donald brown","middle","center","3"
"donald brown","right","guard",0
"c.j. spiller","middle","center","5"
"donald brown","middle","center",0
"fred jackson","left","guard","8"
"c.j. spiller","middle","center","-2"
"donald brown","right","guard",0
"donald brown","right","guard","3"
"donald brown","middle","center","-2"
"donald brown","right","guard","-1"
"donald brown","middle","center","-4"
"donald brown","middle","center","3"
"donald brown","middle","center","1"
"c.j. spiller","middle","center","3"
"ej manuel","right","tackle","6"
"le'veon bell","middle","center","11"
"le'veon bell","right","guard","8"
"le'veon bell","right","tackle","4"
"legarrette blount","left","guard","3"
"jonathan stewart","middle","center","4"
"mike tolbert","middle","center","2"
"le'veon bell","middle","center","-2"
"jonathan stewart","right","tackle","-1"
"le'veon bell","left","tackle","6"
"le'veon bell","left","tackle","5"
"jonathan stewart","left","guard","3"
"le'veon bell","middle","center","1"
"legarrette blount","right","guard","15"
"le'veon bell","middle","center",0
"le'veon bell","middle","center","5"
"ben roethlisberger","middle","center","1"
"le'veon bell","middle","center","-3"
"cam newton","left","tackle","2"
"le'veon bell","middle","center","3"
"jonathan stewart","right","guard","15"
"cam newton","middle","center","5"
"le'veon bell","middle","center","2"
"le'veon bell","right","guard","4"
"jonathan stewart","middle","center","10"
"mike tolbert","right","guard","1"
"mike tolbert","right","guard","1"
"le'veon bell","right","guard","81"
"legarrette blount","right","tackle","3"
"le'veon bell","left","guard","4"
"le'veon bell","middle","center",0
"le'veon bell","left","guard","4"
"le'veon bell","middle","center","2"
"le'veon bell","middle","center","2"
"legarrette blount","left","guard","-3"
"legarrette blount","middle","center","50"
"le'veon bell","middle","center","1"
"legarrette blount","middle","center","8"
"legarrette blount","left","tackle","17"
"legarrette blount","middle","center","4"
"legarrette blount","left","guard","2"
"legarrette blount","middle","center","19"
"pierre thomas","right","tackle","8"
"khiry robinson","right","tackle","13"
"travaris cadet","left","tackle","3"
"khiry robinson","right","tackle","2"
"pierre thomas","right","guard","1"
"matt asiata","left","tackle","2"
"khiry robinson","right","tackle",0
"pierre thomas","left","tackle","11"
"khiry robinson","left","tackle","5"
"matt asiata","right","tackle","-1"
"matt asiata","left","guard","4"
"matt asiata","right","guard","5"
"matt cassel","middle","center","5"
"pierre thomas","right","tackle","7"
"cordarrelle patterson","left","tackle","-7"
"teddy bridgewater","right","tackle","2"
"matt asiata","right","guard","1"
"teddy bridgewater","right","guard","9"
"matt asiata","right","tackle","8"
"travaris cadet","left","tackle","6"
"khiry robinson","right","tackle","7"
"pierre thomas","left","tackle",0
"teddy bridgewater","middle","center","15"
"jerick mckinnon","right","guard","1"
"matt asiata","left","guard","4"
"matt asiata","left","guard","4"
"matt asiata","left","guard","1"
"jerick mckinnon","right","guard","-2"
"khiry robinson","right","tackle","-6"
"pierre thomas","left","tackle","2"
"austin johnson","left","guard","2"
"pierre thomas","left","guard","-2"
"pierre thomas","left","tackle","3"
"matt asiata","right","tackle","1"
"matt asiata","right","tackle","5"
"khiry robinson","right","guard","4"
"khiry robinson","right","tackle","3"
"khiry robinson","right","tackle","3"
"matt asiata","right","guard","1"
"khiry robinson","right","tackle",0
"khiry robinson","left","guard","6"
"khiry robinson","left","tackle","5"
"khiry robinson","left","guard","10"
"khiry robinson","right","tackle","1"
"khiry robinson","left","tackle","-2"
"khiry robinson","right","guard","2"
"khiry robinson","right","guard","5"
"shonn greene","right","tackle",0
"shonn greene","right","guard","2"
"jake locker","middle","center","29"
"shonn greene","right","tackle","5"
"shonn greene","right","tackle","2"
"giovani bernard","left","tackle","7"
"giovani bernard","right","guard","5"
"giovani bernard","left","guard","1"
"giovani bernard","left","guard","2"
"shonn greene","left","tackle","20"
"shonn greene","left","tackle","1"
"jeremy hill","right","tackle","8"
"giovani bernard","right","tackle","5"
"bishop sankey","right","tackle","3"
"bishop sankey","left","tackle","11"
"bishop sankey","middle","center","2"
"bishop sankey","right","guard","2"
"jeremy hill","right","guard","7"
"jeremy hill","right","guard","-2"
"shonn greene","right","guard","1"
"shonn greene","left","tackle",0
"jake locker","right","tackle","1"
"shonn greene","left","tackle","1"
"giovani bernard","right","guard","1"
"jake locker","middle","center","15"
"giovani bernard","left","tackle",0
"bishop sankey","left","tackle","18"
"bishop sankey","middle","center","4"
"bishop sankey","right","guard","9"
"bishop sankey","left","guard","9"
"bishop sankey","right","tackle","2"
"giovani bernard","right","guard","5"
"giovani bernard","middle","center","4"
"giovani bernard","left","tackle",0
"andy dalton","middle","center","1"
"giovani bernard","right","guard","12"
"brandon tate","right","tackle","12"
"giovani bernard","right","guard","2"
"andy dalton","right","guard","3"
"giovani bernard","middle","center","2"
"giovani bernard","right","guard","1"
"dexter mccluster","middle","center",0
"jackie battle","left","guard","5"
"jeremy hill","left","tackle","12"
"jeremy hill","right","guard","6"
"jeremy hill","right","tackle","4"
"jeremy hill","right","tackle","4"
"jake locker","middle","center","6"
"bishop sankey","left","tackle","1"
"shonn greene","middle","center","1"
"cedric peerman","right","tackle","3"
"cedric peerman","left","tackle","2"
"cedric peerman","right","guard","3"
"ryan hewitt","middle","center",0
"cedric peerman","left","tackle","4"
"reggie bush","left","tackle","6"
"joique bell","left","tackle","5"
"reggie bush","middle","center","2"
"eddie lacy","left","tackle","3"
"eddie lacy","left","tackle",0
"james starks","left","tackle","4"
"james starks","middle","center","3"
"reggie bush","middle","center","2"
"eddie lacy","middle","center","6"
"eddie lacy","left","tackle",0
"theo riddick","left","tackle","5"
"jeremy ross","right","tackle","-5"
"james starks","right","tackle","2"
"james starks","right","tackle",0
"james starks","right","tackle","9"
"joique bell","middle","center","5"
"reggie bush","right","tackle",0
"reggie bush","right","tackle",0
"matthew stafford","middle","center","5"
"joique bell","left","tackle","3"
"joique bell","middle","center","2"
"reggie bush","right","tackle","7"
"reggie bush","left","tackle","-4"
"eddie lacy","middle","center","7"
"eddie lacy","left","tackle","7"
"james starks","right","tackle","2"
"james starks","right","tackle","15"
"reggie bush","right","tackle","8"
"matthew stafford","middle","center","3"
"eddie lacy","right","tackle","-2"
"joique bell","middle","center",0
"reggie bush","middle","center","6"
"joique bell","middle","center","1"
"joique bell","left","tackle","1"
"jed collins","middle","center","2"
"dujuan harris","left","tackle","4"
"dujuan harris","middle","center","1"
"dujuan harris","right","tackle","-3"
"joique bell","right","tackle","-1"
"reggie bush","left","tackle","4"
"joique bell","left","tackle","2"
"theo riddick","left","tackle","6"
"reggie bush","left","tackle","26"
"eddie lacy","middle","center","17"
"eddie lacy","left","tackle","3"
"eddie lacy","left","tackle","-4"
"joique bell","right","tackle",0
"joique bell","left","tackle","3"
"theo riddick","right","tackle","5"
"joique bell","right","tackle","2"
"reggie bush","right","tackle","4"
"joique bell","right","tackle","5"
"joique bell","right","tackle","1"
"joique bell","left","tackle","4"
"justin forsett","right","guard","1"
"lorenzo taliaferro","left","guard","9"
"lorenzo taliaferro","right","guard","7"
"justin forsett","right","tackle","3"
"lorenzo taliaferro","left","tackle","1"
"terrance west","left","tackle","5"
"terrance west","right","tackle","3"
"terrance west","left","guard","2"
"travis benjamin","right","tackle","-2"
"ray agnew","right","guard",0
"terrance west","right","guard","1"
"terrance west","right","tackle","4"
"brian hoyer","right","tackle","1"
"lorenzo taliaferro","right","tackle","31"
"lorenzo taliaferro","left","tackle","8"
"justin forsett","right","guard","6"
"justin forsett","left","guard","-2"
"lorenzo taliaferro","right","tackle","4"
"lorenzo taliaferro","right","tackle","7"
"lorenzo taliaferro","left","guard","5"
"lorenzo taliaferro","right","guard","4"
"lorenzo taliaferro","right","guard","3"
"isaiah crowell","right","guard","8"
"isaiah crowell","right","tackle","-1"
"justin forsett","right","guard","1"
"lorenzo taliaferro","right","tackle","2"
"terrance west","right","guard","6"
"isaiah crowell","right","guard","1"
"isaiah crowell","right","tackle","12"
"isaiah crowell","right","tackle","1"
"taylor gabriel","left","tackle","8"
"isaiah crowell","left","tackle","14"
"lorenzo taliaferro","right","guard","9"
"lorenzo taliaferro","right","tackle","2"
"justin forsett","left","tackle","21"
"joe flacco","right","guard",0
"lorenzo taliaferro","right","guard","1"
"isaiah crowell","right","tackle","22"
"taylor gabriel","right","tackle","-10"
"terrance west","right","guard","8"
"terrance west","right","tackle","3"
"terrance west","right","guard","3"
"lorenzo taliaferro","right","guard","-2"
"isaiah crowell","left","tackle","-8"
"lorenzo taliaferro","left","tackle","1"
"joe flacco","right","guard",0
"lorenzo taliaferro","right","guard",0
"terrance west","left","guard",0
"terrance west","right","guard","-1"
"brian hoyer","left","tackle","-6"
"justin forsett","right","tackle","22"
"justin forsett","right","tackle","10"
"justin forsett","left","guard","6"
"lorenzo taliaferro","right","guard","-1"
"isaiah crowell","left","tackle","3"
"justin forsett","left","guard","-6"
"isaiah crowell","right","tackle","5"
"isaiah crowell","left","tackle","-2"
"justin forsett","left","tackle","1"
"darren mcfadden","middle","center","3"
"darren mcfadden","right","guard","2"
"darren mcfadden","right","guard","3"
"marcel reece","left","tackle","7"
"darren mcfadden","right","guard","4"
"darren mcfadden","middle","center","4"
"darren mcfadden","middle","center","5"
"darren mcfadden","middle","center","2"
"stevan ridley","right","tackle","7"
"stevan ridley","left","tackle","2"
"stevan ridley","left","guard","1"
"shane vereen","middle","center","11"
"shane vereen","right","tackle","2"
"darren mcfadden","left","guard","1"
"darren mcfadden","middle","center","2"
"stevan ridley","right","tackle","6"
"stevan ridley","right","tackle","5"
"stevan ridley","left","guard","2"
"shane vereen","middle","center","2"
"stevan ridley","middle","center","5"
"brandon bolden","left","guard","3"
"stevan ridley","middle","center","-1"
"darren mcfadden","left","guard",0
"stevan ridley","right","tackle","2"
"stevan ridley","left","guard","9"
"stevan ridley","middle","center","6"
"stevan ridley","left","tackle","1"
"shane vereen","left","guard",0
"stevan ridley","left","tackle","-3"
"darren mcfadden","middle","center","4"
"darren mcfadden","middle","center","3"
"latavius murray","right","guard","1"
"shane vereen","middle","center",0
"julian edelman","right","tackle","5"
"stevan ridley","left","guard","-1"
"darren mcfadden","right","guard","2"
"darren mcfadden","left","tackle","6"
"stevan ridley","left","tackle","-1"
"stevan ridley","right","tackle","6"
"brandon bolden","middle","center","1"
"shane vereen","left","tackle",0
"latavius murray","right","guard",0
"latavius murray","right","guard",0
"stevan ridley","right","tackle","5"
"shane vereen","left","tackle","5"
"stevan ridley","left","tackle","2"
"stevan ridley","right","tackle","1"
"darren mcfadden","left","tackle","10"
"darren mcfadden","middle","center","1"
"darren mcfadden","left","guard","3"
"alfred morris","left","tackle","8"
"alfred morris","left","tackle","1"
"alfred morris","right","tackle","6"
"alfred morris","right","tackle",0
"alfred morris","left","tackle","2"
"alfred morris","right","tackle","2"
"alfred morris","right","tackle","2"
"alfred morris","left","tackle","12"
"alfred morris","right","tackle","-1"
"lesean mccoy","middle","center","1"
"lesean mccoy","left","tackle","9"
"nick foles","middle","center","9"
"darren sproles","middle","center","2"
"darren sproles","middle","center","17"
"alfred morris","left","tackle","5"
"alfred morris","right","tackle","4"
"kirk cousins","middle","center","3"
"alfred morris","left","tackle",0
"alfred morris","right","tackle","2"
"lesean mccoy","left","tackle","2"
"lesean mccoy","right","tackle","-2"
"darrel young","left","guard","1"
"alfred morris","right","tackle","8"
"alfred morris","right","tackle","5"
"alfred morris","middle","center","3"
"nick foles","middle","center","5"
"lesean mccoy","middle","center","4"
"lesean mccoy","right","tackle","-5"
"lesean mccoy","middle","center","2"
"lesean mccoy","right","tackle",0
"lesean mccoy","right","tackle","-2"
"alfred morris","right","tackle","5"
"alfred morris","left","tackle",0
"kirk cousins","middle","center","3"
"lesean mccoy","left","tackle","1"
"lesean mccoy","right","tackle","4"
"lesean mccoy","left","tackle","3"
"alfred morris","right","tackle","7"
"alfred morris","right","tackle",0
"lesean mccoy","right","tackle","3"
"alfred morris","left","tackle","3"
"lesean mccoy","left","tackle","1"
"lesean mccoy","middle","center","1"
"roy helu","middle","center","1"
"lesean mccoy","right","tackle",0
"lesean mccoy","left","tackle",0
"alfred morris","left","tackle",0
"lesean mccoy","right","tackle","-1"
"rashad jennings","left","tackle","5"
"rashad jennings","left","guard","4"
"rashad jennings","left","tackle","2"
"rashad jennings","right","tackle","6"
"alfred blue","left","tackle","11"
"alfred blue","right","guard","2"
"alfred blue","left","tackle","9"
"jonathan grimes","middle","center","5"
"rashad jennings","left","tackle","9"
"rashad jennings","right","tackle","4"
"rashad jennings","middle","center","3"
"rashad jennings","left","guard","8"
"rashad jennings","left","guard","3"
"alfred blue","right","tackle","4"
"ryan fitzpatrick","left","tackle","5"
"andre williams","left","tackle","4"
"andre williams","middle","center",0
"alfred blue","left","tackle","2"
"rashad jennings","middle","center","7"
"rashad jennings","left","guard","5"
"rashad jennings","left","guard","18"
"ronnie brown","right","tackle","1"
"ronnie brown","right","guard",0
"rashad jennings","right","tackle","11"
"rashad jennings","left","guard","3"
"rashad jennings","left","guard","-2"
"alfred blue","middle","center","2"
"rashad jennings","middle","center","1"
"rashad jennings","left","guard",0
"rashad jennings","right","guard","1"
"alfred blue","right","tackle","-2"
"alfred blue","right","tackle","1"
"alfred blue","right","tackle","-1"
"rashad jennings","left","tackle","10"
"rashad jennings","left","tackle","13"
"rashad jennings","left","tackle","4"
"rashad jennings","left","guard","3"
"rashad jennings","left","tackle","-6"
"ryan fitzpatrick","middle","center","3"
"ryan fitzpatrick","middle","center","3"
"andre williams","right","tackle","5"
"andre williams","right","tackle","3"
"alfred blue","left","tackle","2"
"alfred blue","left","guard","46"
"ronnie brown","left","guard","1"
"rashad jennings","left","tackle","15"
"rashad jennings","right","guard","6"
"rashad jennings","left","tackle","7"
"alfred blue","left","tackle","2"
"damaris johnson","left","tackle",0
"ryan fitzpatrick","right","tackle","7"
"rashad jennings","left","tackle","15"
"rashad jennings","right","guard","4"
"rashad jennings","left","tackle","4"
"rashad jennings","middle","center","2"
"andre williams","right","tackle","3"
"andre williams","middle","center","3"
"ryan fitzpatrick","left","tackle","7"
"alfred blue","left","tackle",0
"ryan fitzpatrick","middle","center","1"
"rashad jennings","middle","center","1"
"rashad jennings","left","tackle","3"
"rashad jennings","left","guard","2"
"ryan fitzpatrick","right","tackle","8"
"chris johnson","left","tackle","4"
"chris johnson","middle","center","4"
"michael vick","left","tackle","3"
"matt forte","right","tackle","-4"
"chris ivory","right","tackle","4"
"chris ivory","right","tackle","5"
"chris ivory","left","tackle","1"
"chris ivory","right","guard","1"
"matt forte","left","tackle","-1"
"matt forte","left","tackle","-2"
"matt forte","middle","center","7"
"chris johnson","left","tackle","3"
"chris ivory","right","tackle","1"
"jay cutler","left","tackle","1"
"alshon jeffery","left","tackle","6"
"chris johnson","middle","center","3"
"chris johnson","middle","center","5"
"matt forte","left","tackle","1"
"matt forte","right","tackle","3"
"matt forte","middle","center","3"
"alshon jeffery","left","tackle","7"
"chris johnson","right","tackle","2"
"chris ivory","middle","center","17"
"chris ivory","left","tackle","6"
"chris ivory","middle","center","2"
"chris ivory","right","tackle","7"
"geno smith","right","tackle","11"
"chris ivory","middle","center",0
"geno smith","middle","center","-2"
"matt forte","middle","center","3"
"matt forte","left","tackle","2"
"chris johnson","right","tackle","6"
"chris johnson","right","tackle","4"
"chris johnson","right","tackle","1"
"matt forte","middle","center","5"
"matt forte","right","tackle","2"
"matt forte","left","tackle","8"
"matt forte","middle","center","6"
"ka'deem carey","right","tackle",0
"bilal powell","middle","center","7"
"bilal powell","middle","center","6"
"rashad jennings","left","guard","4"
"rashad jennings","left","tackle","1"
"alfred morris","left","tackle","4"
"kirk cousins","right","tackle","12"
"rashad jennings","left","tackle","3"
"rashad jennings","left","guard","6"
"rashad jennings","left","tackle",0
"alfred morris","right","tackle","3"
"alfred morris","right","tackle","2"
"andre williams","middle","center","4"
"rashad jennings","right","tackle","6"
"rashad jennings","middle","center","5"
"rashad jennings","left","tackle","12"
"rashad jennings","left","guard","2"
"alfred morris","left","tackle","2"
"alfred morris","left","tackle","18"
"alfred morris","left","tackle","2"
"andre williams","right","guard","1"
"andre williams","left","guard","3"
"rashad jennings","right","guard","1"
"alfred morris","left","tackle","5"
"alfred morris","left","tackle","20"
"rashad jennings","right","tackle","7"
"rashad jennings","left","tackle","1"
"alfred morris","left","tackle","5"
"andre roberts","left","tackle","2"
"andre williams","right","guard","3"
"darrel young","left","tackle","1"
"rashad jennings","left","guard","7"
"andre williams","right","tackle","5"
"alfred morris","left","tackle",0
"andre williams","left","guard","23"
"andre williams","right","guard","1"
"andre williams","right","guard","2"
"alfred morris","left","tackle","-1"
"andre williams","right","guard",0
"eli manning","right","tackle","1"
"alfred morris","middle","center","3"
"andre williams","right","guard","3"
"andre williams","left","tackle","7"
"peyton hillis","right","tackle","8"
"peyton hillis","middle","center",0
"andre williams","right","tackle","2"
"andre williams","left","guard","9"
"henry hynoski","right","guard","1"
"andre williams","left","guard","1"
"roy helu","right","tackle","2"
"peyton hillis","right","tackle","3"
"peyton hillis","left","guard","3"
"peyton hillis","left","tackle","9"
"andre williams","left","guard","2"
"peyton hillis","right","guard","8"
"peyton hillis","right","tackle","-1"
"roy helu","middle","center","6"
"darren mcfadden","right","guard","2"
"darren mcfadden","left","tackle",0
"darren mcfadden","right","tackle","4"
"darren mcfadden","left","guard","12"
"darren mcfadden","right","tackle",0
"lamar miller","left","guard","21"
"lamar miller","left","tackle",0
"darren mcfadden","right","guard","5"
"darren mcfadden","right","guard","4"
"jamize olawale","right","guard",0
"lamar miller","right","guard","1"
"lamar miller","right","guard","4"
"derek carr","middle","center","1"
"dallas thomas","left","tackle","15"
"dallas thomas","right","guard","10"
"mike wallace","left","tackle",0
"lamar miller","left","tackle","9"
"maurice jones-drew","left","guard","1"
"ryan tannehill","right","tackle","8"
"lamar miller","right","guard","3"
"ryan tannehill","right","tackle","5"
"lamar miller","right","guard","3"
"ryan tannehill","right","tackle","18"
"lamar miller","right","guard","20"
"lamar miller","right","tackle","-1"
"lamar miller","left","guard","1"
"darren mcfadden","right","tackle","3"
"darren mcfadden","left","tackle","2"
"lamar miller","right","guard","2"
"lamar miller","right","tackle","1"
"darren mcfadden","left","tackle","6"
"derek carr","middle","center","8"
"maurice jones-drew","left","tackle",0
"dallas thomas","left","guard","4"
"dallas thomas","left","tackle","3"
"dallas thomas","right","tackle","3"
"darren mcfadden","left","guard","2"
"matt mcgloin","middle","center","3"
"damian williams","left","guard","2"
"damian williams","left","tackle","5"
"damian williams","left","guard","2"
"orleans darkwa","right","guard","7"
"orleans darkwa","middle","center","-3"
"damian williams","left","tackle","12"
"damian williams","left","guard","1"
"orleans darkwa","right","guard","-1"
"orleans darkwa","left","guard","-1"
"damian williams","left","tackle","1"
"deangelo williams","left","tackle","3"
"deangelo williams","left","guard","6"
"deangelo williams","left","guard","3"
"deangelo williams","right","guard","4"
"deangelo williams","left","guard","1"
"deangelo williams","left","guard",0
"deangelo williams","right","tackle","2"
"justin forsett","right","tackle","7"
"lorenzo taliaferro","left","guard","1"
"deangelo williams","left","tackle","2"
"deangelo williams","left","guard","4"
"darrin reaves","left","guard","3"
"darrin reaves","right","guard","5"
"justin forsett","right","tackle","3"
"justin forsett","right","guard","7"
"lorenzo taliaferro","right","tackle","1"
"deangelo williams","left","tackle","2"
"darrin reaves","left","tackle","-4"
"justin forsett","right","tackle","9"
"justin forsett","right","tackle","11"
"darrin reaves","left","guard",0
"justin forsett","middle","center","4"
"justin forsett","left","tackle","-1"
"justin forsett","left","guard","4"
"justin forsett","right","tackle","-2"
"justin forsett","left","guard","2"
"lorenzo taliaferro","right","guard","7"
"lorenzo taliaferro","left","guard","1"
"darrin reaves","left","guard","1"
"darrin reaves","left","guard","2"
"darrin reaves","left","guard","4"
"darrin reaves","right","tackle","3"
"darrin reaves","left","guard","4"
"justin forsett","right","guard","2"
"joe flacco","middle","center","3"
"lorenzo taliaferro","right","tackle","13"
"lorenzo taliaferro","right","guard","3"
"lorenzo taliaferro","left","guard","2"
"lorenzo taliaferro","left","tackle",0
"lorenzo taliaferro","middle","center","1"
"darrin reaves","left","guard","3"
"tauren poole","right","guard",0
"lorenzo taliaferro","right","guard",0
"lorenzo taliaferro","right","guard","3"
"justin forsett","left","tackle",0
"lorenzo taliaferro","left","tackle","3"
"lorenzo taliaferro","middle","center","23"
"lorenzo taliaferro","right","tackle",0
"justin forsett","left","guard","-1"
"lorenzo taliaferro","right","guard",0
"darrin reaves","right","guard","4"
"darrin reaves","right","guard","1"
"toby gerhart","middle","center","10"
"donald brown","middle","center","1"
"denard robinson","left","tackle","3"
"denard robinson","left","tackle","-1"
"jordan todman","middle","center","4"
"blake bortles","middle","center","1"
"denard robinson","middle","center","-5"
"blake bortles","middle","center",0
"donald brown","middle","center","2"
"donald brown","middle","center","3"
"denard robinson","right","tackle","10"
"denard robinson","right","tackle","10"
"toby gerhart","middle","center","4"
"toby gerhart","middle","center",0
"toby gerhart","left","tackle","1"
"donald brown","right","tackle","3"
"blake bortles","left","tackle","8"
"toby gerhart","right","tackle","5"
"denard robinson","middle","center","2"
"branden oliver","left","tackle","-1"
"toby gerhart","left","tackle","3"
"toby gerhart","right","tackle","2"
"donald brown","left","tackle","3"
"donald brown","middle","center","2"
"donald brown","left","tackle","-3"
"denard robinson","left","tackle","4"
"toby gerhart","right","tackle","5"
"branden oliver","middle","center","4"
"donald brown","middle","center","5"
"branden oliver","right","tackle","1"
"blake bortles","right","tackle","7"
"toby gerhart","middle","center","2"
"blake bortles","middle","center","8"
