runner,area,line,yards
"montee ball","middle","center","3"
"montee ball","right","tackle","1"
"montee ball","middle","center","3"
"montee ball","middle","center","1"
"montee ball","middle","center","3"
"andrew luck","middle","center","1"
"montee ball","left","tackle",0
"demarco murray","left","tackle","35"
"dwayne harris","right","tackle","9"
"demarco murray","right","guard","6"
"demarco murray","right","tackle","5"
"demarco murray","middle","center","6"
"demarco murray","middle","center","5"
"demarco murray","middle","center","7"
"demarco murray","left","tackle","15"
"demarco murray","middle","center","6"
"demarco murray","left","tackle","6"
"demarco murray","right","tackle","6"
"demarco murray","left","guard","2"
"demarco murray","right","tackle","4"
"frank gore","left","tackle","20"
"colin kaepernick","right","tackle","2"
"frank gore","left","tackle","3"
"lamichael james","right","tackle","-1"
"demarco murray","middle","center","4"
"demarco murray","left","tackle","2"
"frank gore","left","tackle","1"
"lamichael james","left","tackle","1"
"frank gore","left","tackle","6"
"carlos hyde","right","guard","13"
"carlos hyde","middle","center","4"
"demarco murray","left","tackle","12"
"frank gore","middle","center",0
"demarco murray","right","guard","4"
"demarco murray","right","guard","2"
"carlos hyde","right","tackle","6"
"frank gore","left","tackle",0
"frank gore","left","tackle","4"
"frank gore","left","tackle","1"
"demarco murray","left","guard","15"
"demarco murray","left","tackle","2"
"demarco murray","right","tackle","-2"
"demarco murray","middle","center","2"
"frank gore","left","tackle","-2"
"carlos hyde","middle","center","5"
"colin kaepernick","middle","center","8"
"frank gore","right","tackle","6"
"carlos hyde","middle","center","15"
"frank gore","right","tackle","12"
"carlos hyde","middle","center","4"
"frank gore","right","guard",0
"carlos hyde","right","tackle","3"
"frank gore","right","guard","4"
"frank gore","right","guard","3"
"frank gore","right","tackle","5"
"c.j. spiller","left","tackle","2"
"c.j. spiller","left","tackle","2"
"matt forte","right","guard","2"
"fred jackson","right","guard","5"
"fred jackson","left","guard","3"
"ej manuel","left","tackle","6"
"fred jackson","right","guard","2"
"fred jackson","right","guard","4"
"ej manuel","left","tackle","2"
"matt forte","right","guard","3"
"ej manuel","right","tackle","7"
"matt forte","left","tackle","14"
"matt forte","right","tackle","9"
"matt forte","right","tackle","6"
"anthony dixon","right","tackle","5"
"c.j. spiller","right","tackle","5"
"anthony dixon","right","tackle","6"
"c.j. spiller","left","tackle","-5"
"ka'deem carey","left","tackle","4"
"anthony dixon","left","guard","47"
"c.j. spiller","left","tackle","4"
"matt forte","left","tackle","4"
"matt forte","right","tackle","5"
"matt forte","right","guard","-1"
"c.j. spiller","right","tackle","4"
"c.j. spiller","left","tackle","3"
"c.j. spiller","right","guard","5"
"matt forte","right","guard","5"
"c.j. spiller","right","tackle","1"
"c.j. spiller","right","tackle","11"
"c.j. spiller","left","guard","5"
"anthony dixon","right","guard","2"
"matt forte","left","guard","4"
"matt forte","left","tackle","-2"
"c.j. spiller","right","tackle","-2"
"ej manuel","left","tackle","8"
"matt forte","right","tackle","6"
"matt forte","left","guard",0
"c.j. spiller","left","tackle","4"
"fred jackson","left","tackle","4"
"anthony dixon","left","tackle",0
"matt forte","right","guard",0
"matt forte","left","tackle","7"
"matt forte","left","guard","13"
"c.j. spiller","left","guard","13"
"c.j. spiller","left","guard","1"
"fred jackson","right","guard","5"
"fred jackson","left","tackle","38"
"jamaal charles","left","tackle","3"
"jamaal charles","middle","center","6"
"anthony sherman","middle","center","4"
"dexter mccluster","middle","center","2"
"shonn greene","middle","center","8"
"shonn greene","middle","center","-1"
"cyrus gray","middle","center","1"
"dexter mccluster","right","tackle","2"
"shonn greene","left","guard","1"
"jamaal charles","middle","center","3"
"alex smith","middle","center","17"
"jamaal charles","left","guard","3"
"alex smith","middle","center","3"
"dexter mccluster","middle","center","2"
"jamaal charles","left","tackle","6"
"shonn greene","right","guard","4"
"shonn greene","right","guard","5"
"shonn greene","middle","center","2"
"knile davis","right","guard","3"
"alex smith","right","tackle","15"
"alex smith","middle","center","5"
"jake locker","left","tackle","1"
"leon washington","middle","center","16"
"jake locker","right","tackle","2"
"dexter mccluster","middle","center","7"
"dexter mccluster","left","tackle","4"
"dexter mccluster","middle","center","3"
"dexter mccluster","middle","center","6"
"dexter mccluster","middle","center","2"
"jake locker","left","tackle","6"
"jamaal charles","left","tackle",0
"bishop sankey","middle","center","4"
"shonn greene","middle","center","5"
"shonn greene","middle","center","4"
"shonn greene","middle","center","3"
"shonn greene","middle","center","1"
"cyrus gray","middle","center","4"
"shonn greene","middle","center","2"
"dexter mccluster","middle","center","1"
"jamaal charles","middle","center","-2"
"alex smith","left","tackle","5"
"bishop sankey","middle","center","5"
"bishop sankey","middle","center","1"
"bishop sankey","middle","center","12"
"bishop sankey","middle","center",0
"bishop sankey","middle","center","3"
"leon washington","middle","center","7"
"alex smith","right","tackle","3"
"shonn greene","middle","center","18"
"shonn greene","middle","center","3"
"shonn greene","middle","center","10"
"shonn greene","middle","center","6"
"adrian peterson","right","guard","7"
"cordarrelle patterson","right","tackle","12"
"adrian peterson","middle","center","5"
"adrian peterson","left","tackle","3"
"adrian peterson","left","tackle","3"
"adrian peterson","right","guard","-5"
"adrian peterson","right","tackle","1"
"zac stacy","middle","center","2"
"adrian peterson","right","tackle","17"
"zac stacy","left","guard","2"
"zac stacy","right","tackle","7"
"zac stacy","right","tackle","2"
"cordarrelle patterson","right","tackle","23"
"adrian peterson","right","tackle",0
"tavon austin","middle","center","3"
"tavon austin","left","tackle","-3"
"jerick mckinnon","middle","center","1"
"matt asiata","left","tackle","5"
"matt asiata","middle","center","5"
"benny cunningham","right","tackle","7"
"benny cunningham","middle","center","2"
"benny cunningham","middle","center","4"
"tavon austin","middle","center","5"
"adrian peterson","right","tackle",0
"adrian peterson","left","tackle","5"
"zac stacy","middle","center","3"
"zac stacy","left","tackle","7"
"zac stacy","right","tackle","3"
"adrian peterson","right","tackle","16"
"adrian peterson","left","tackle","7"
"adrian peterson","right","guard","3"
"adrian peterson","left","tackle","4"
"zac stacy","right","guard","6"
"zac stacy","middle","center","4"
"zac stacy","right","tackle","6"
"cordarrelle patterson","right","tackle","67"
"benny cunningham","right","guard","1"
"adrian peterson","right","tackle","-2"
"zac stacy","middle","center","1"
"adrian peterson","left","guard","1"
"adrian peterson","right","tackle","12"
"adrian peterson","right","tackle","2"
"adrian peterson","middle","center","-6"
"adrian peterson","right","tackle","-1"
"benny cunningham","right","guard","7"
"toby gerhart","right","guard","2"
"toby gerhart","right","tackle","-1"
"lesean mccoy","left","guard","-1"
"lesean mccoy","middle","center","4"
"lesean mccoy","right","tackle","1"
"toby gerhart","left","tackle","11"
"toby gerhart","right","tackle",0
"lesean mccoy","right","tackle","4"
"lesean mccoy","right","tackle","13"
"darren sproles","right","guard",0
"lesean mccoy","right","tackle","9"
"lesean mccoy","left","tackle","5"
"toby gerhart","left","tackle","3"
"toby gerhart","middle","center","-3"
"darren sproles","left","tackle","-1"
"denard robinson","left","tackle","6"
"denard robinson","left","tackle","3"
"denard robinson","left","tackle","-1"
"toby gerhart","right","tackle","1"
"toby gerhart","middle","center","3"
"toby gerhart","right","tackle","1"
"lesean mccoy","middle","center","-1"
"lesean mccoy","left","tackle","5"
"jordan todman","left","tackle",0
"jordan todman","right","tackle","1"
"jordan todman","right","tackle","5"
"lesean mccoy","right","tackle","-2"
"darren sproles","left","guard","1"
"darren sproles","middle","center","49"
"toby gerhart","right","tackle","2"
"lesean mccoy","middle","center","8"
"lesean mccoy","right","tackle","2"
"lesean mccoy","middle","center","-3"
"lesean mccoy","left","tackle","8"
"darren sproles","left","tackle","-3"
"toby gerhart","right","tackle","3"
"toby gerhart","left","tackle","-3"
"toby gerhart","left","tackle","4"
"lesean mccoy","left","tackle",0
"darren sproles","middle","center","10"
"darren sproles","left","tackle","5"
"lesean mccoy","middle","center","6"
"darren sproles","right","tackle","6"
"darren sproles","middle","center","1"
"chad henne","right","tackle","8"
"toby gerhart","right","tackle","1"
"toby gerhart","middle","center","9"
"toby gerhart","middle","center","7"
"toby gerhart","right","tackle","2"
"lesean mccoy","right","tackle",0
"lesean mccoy","left","tackle","-3"
"lesean mccoy","right","tackle","19"
"lesean mccoy","left","tackle","1"
"darren sproles","middle","center","4"
"darren sproles","right","guard","-1"
"deangelo williams","left","tackle","6"
"mike tolbert","middle","center","-1"
"doug martin","middle","center","1"
"deangelo williams","left","guard","7"
"deangelo williams","middle","center","6"
"jonathan stewart","right","guard",0
"jorvorskie lane","right","guard","54"
"doug martin","right","guard","2"
"deangelo williams","middle","center","3"
"mike tolbert","left","tackle","5"
"deangelo williams","middle","center",0
"deangelo williams","left","guard","7"
"jonathan stewart","left","tackle","1"
"mike tolbert","middle","center",0
"derek anderson","middle","center","2"
"deangelo williams","left","tackle","-2"
"doug martin","right","tackle","-3"
"doug martin","left","tackle","2"
"jonathan stewart","right","tackle","-3"
"jonathan stewart","right","tackle","3"
"doug martin","right","tackle","1"
"jonathan stewart","middle","center","2"
"deangelo williams","right","tackle","1"
"mike tolbert","middle","center","1"
"doug martin","right","guard","4"
"josh mccown","middle","center","11"
"doug martin","right","guard","4"
"doug martin","right","guard",0
"doug martin","middle","center","-2"
"jonathan stewart","right","guard","6"
"bobby rainey","left","guard","3"
"josh mccown","middle","center","3"
"bobby rainey","middle","center","1"
"deangelo williams","right","guard","5"
"deangelo williams","left","tackle","11"
"jonathan stewart","middle","center","4"
"deangelo williams","left","tackle","17"
"jonathan stewart","right","guard","1"
"jonathan stewart","left","tackle","6"
"bobby rainey","middle","center","6"
"josh mccown","right","tackle","13"
"bobby rainey","right","tackle","2"
"mike tolbert","left","tackle","1"
"deangelo williams","left","tackle","5"
"mike tolbert","left","guard","1"
"mike tolbert","left","guard","4"
"deangelo williams","left","guard","3"
"arian foster","right","guard","9"
"arian foster","left","guard","-1"
"alfred morris","left","tackle","9"
"alfred morris","middle","center","-1"
"arian foster","left","guard","3"
"arian foster","right","guard",0
"alfred morris","right","tackle","6"
"arian foster","left","guard","4"
"arian foster","right","tackle","2"
"alfred morris","left","tackle","1"
"roy helu","middle","center","16"
"roy helu","middle","center","6"
"arian foster","right","guard","6"
"arian foster","left","guard","6"
"arian foster","right","tackle","10"
"alfred morris","right","tackle","16"
"roy helu","right","tackle","8"
"alfred morris","right","tackle","21"
"darrel young","middle","center","1"
"arian foster","right","tackle","5"
"arian foster","right","tackle","5"
"arian foster","right","tackle","4"
"desean jackson","right","tackle","-9"
"alfred morris","left","tackle","2"
"alfred morris","left","tackle","9"
"robert griffin","right","tackle","1"
"alfred morris","right","tackle","9"
"alfred morris","right","tackle","6"
"roy helu","right","tackle","16"
"alfred morris","left","guard","4"
"arian foster","right","tackle","2"
"arian foster","middle","center","2"
"arian foster","left","tackle","2"
"arian foster","left","tackle","8"
"arian foster","right","guard","3"
"arian foster","right","guard","6"
"ryan fitzpatrick","middle","center","3"
"arian foster","middle","center","7"
"jonathan grimes","middle","center","2"
"arian foster","right","tackle","3"
"alfred morris","middle","center","9"
"alfred morris","right","tackle","-4"
"arian foster","left","tackle","3"
"arian foster","right","tackle","9"
"arian foster","right","tackle",0
"arian foster","left","tackle","3"
"arian foster","left","guard","4"
"alfred blue","right","guard",0
"ryan fitzpatrick","middle","center","9"
"arian foster","left","tackle","-3"
"arian foster","middle","center","1"
"giovani bernard","left","guard","4"
"giovani bernard","right","guard","7"
"a.j. green","left","tackle","5"
"bernard pierce","left","tackle","3"
"justin forsett","left","guard","2"
"andy dalton","right","guard","3"
"andy dalton","middle","center","2"
"giovani bernard","right","guard","6"
"andy dalton","left","guard",0
"bernard pierce","right","tackle","3"
"giovani bernard","right","guard","3"
"giovani bernard","right","guard","2"
"andy dalton","middle","center",0
"justin forsett","right","tackle","5"
"jeremy hill","right","guard","4"
"jeremy hill","left","guard","8"
"jeremy hill","left","guard","3"
"giovani bernard","left","tackle","2"
"bernard pierce","left","guard","6"
"bernard pierce","left","guard","6"
"bernard pierce","left","tackle","-4"
"giovani bernard","left","guard",0
"giovani bernard","right","tackle","-4"
"bernard pierce","right","guard","3"
"joe flacco","middle","center","2"
"justin forsett","left","tackle","4"
"justin forsett","left","tackle","10"
"giovani bernard","left","guard","1"
"giovani bernard","right","guard","5"
"giovani bernard","middle","center","2"
"justin forsett","middle","center","3"
"justin forsett","right","guard","3"
"justin forsett","right","tackle","13"
"jeremy hill","right","tackle","4"
"mohamed sanu","right","tackle","4"
"justin forsett","left","tackle","8"
"justin forsett","right","tackle","5"
"joe flacco","middle","center","2"
"joe flacco","right","tackle","3"
"justin forsett","left","tackle","10"
"giovani bernard","left","guard","16"
"giovani bernard","left","guard","1"
"giovani bernard","left","guard","3"
"justin forsett","right","guard","7"
"chris johnson","left","guard","7"
"chris johnson","middle","center","4"
"chris ivory","middle","center","3"
"maurice jones-drew","middle","center","4"
"maurice jones-drew","middle","center",0
"maurice jones-drew","right","tackle",0
"maurice jones-drew","left","guard","4"
"chris ivory","left","tackle",0
"geno smith","left","guard","2"
"chris ivory","left","guard","7"
"chris johnson","right","tackle","10"
"geno smith","right","tackle","-2"
"geno smith","middle","center","17"
"bilal powell","left","tackle","4"
"chris johnson","middle","center",0
"geno smith","right","tackle","-1"
"marcel reece","right","tackle",0
"darren mcfadden","left","tackle","6"
"darren mcfadden","middle","center","3"
"chris johnson","middle","center","1"
"maurice jones-drew","middle","center","3"
"chris ivory","left","tackle","2"
"geno smith","right","tackle","8"
"chris ivory","right","tackle","11"
"geno smith","right","tackle","4"
"maurice jones-drew","middle","center","-11"
"chris johnson","right","tackle","11"
"chris johnson","left","guard","11"
"chris johnson","left","tackle","-1"
"chris ivory","middle","center","-2"
"darren mcfadden","left","tackle","3"
"geno smith","middle","center",0
"chris ivory","right","guard","7"
"geno smith","left","tackle","12"
"chris johnson","middle","center","9"
"maurice jones-drew","middle","center",0
